OID_,Name,Parcel__Parcel_Name,Project_ID,Record_Type,Project_Status,Owner__Full_Name,Project_Street_Number,Project_Street_Name,Project_Street_Suffix,Neighborhood,Project_Zip_Code,Letter_of_Intent,Filed_Date,BPDA_Board_Approval,First_Building_Permit,COO_Permit_Date,Last_Modified_Date,Last_Project_Update_Date,Lat,Lon,A80_Proj_ID,LocCode,A80_URL,URL_Base,URL_Stat
1,International Cargo Port,,6,,,,,,,South Boston Waterfront,,,,,,,10/30/2020 0:00:00,,42.344299999999997,-71.029799999999994,6,,,International-Cargo-Port,404
2,CANA Parcels 2 and 4,,7,,,,,,,Charlestown,,,5/5/2000 0:00:00,7/20/2006 0:00:00,,9/14/2007 0:00:00,10/30/2020 0:00:00,,42.371200000000002,-71.061499999999995,7,,,CANA-Parcels-2-and-4,404
3,Crosstown Center Phase I,,9,,,,,,,South End,,,10/21/1999 0:00:00,9/8/2005 0:00:00,,,10/30/2020 0:00:00,,42.332400000000000,-71.073700000000002,9,,,Crosstown-Center-Phase-I,404
4,Jacobson Floral Supply,,10,,,,,,,South End,,,1/1/2005 0:00:00,6/30/2005 0:00:00,,,10/30/2020 0:00:00,,42.338299999999997,-71.065799999999996,10,,,Jacobson-Floral-Supply,404
5,1380 Soldiers Field Road,,15,,,,,,,Allston,,,12/22/1998 0:00:00,2/25/1999 0:00:00,,,10/30/2020 0:00:00,,42.362499999999997,-71.143000000000001,15,,,1380-Soldiers-Field-Road,404
6,"Legal Seafoods Processing Plant, BMIP",,19,,,,,,,South Boston Waterfront,,,4/30/2001 0:00:00,7/17/2001 0:00:00,,,10/30/2020 0:00:00,,42.349699999999999,-71.032200000000003,19,,,"Legal-Seafoods-Processing-Plant,-BMIP",404
7,District Nine at 61 North Beacon Street,,20,,,,,,,Brighton,,,2/15/2005 0:00:00,4/25/2006 0:00:00,,,11/29/2020 0:00:00,4/25/2006 0:00:00,42.354500000000002,-71.140299999999996,20,,,District-Nine-at-61-North-Beacon-Street,404
8,Boston University - East Student Village,,25,,,,,,,Allston,,,,4/30/1998 0:00:00,,,10/30/2020 0:00:00,,42.352400000000003,-71.117000000000004,25,,,Boston-University-East-Student-Village,404
9,New England Baptist Hospital Edward H. Haskell School of Nursing,,28,,,,,,,Mission Hill,,,,8/13/1998 0:00:00,,,10/30/2020 0:00:00,,42.330399999999997,-71.109099999999998,28,,,New-England-Baptist-Hospital-Edward-H.-Haskell-School-of-Nursing,404
10,Northeastern University - West Village Residence Complex,,30,,,,,,,Fenway,,,,,,,10/30/2020 0:00:00,,42.338099999999997,-71.092600000000004,30,,,Northeastern-University-West-Village-Residence-Complex,404
11,Suffolk University - Law School,,31,,,,,,,Downtown,,,,,,,10/30/2020 0:00:00,,42.356699999999996,-71.061199999999999,31,,,Suffolk-University-Law-School,404
12,"Fenway Urban Renewal Area, Botolph Assisted Living Community Project",,33,,,,,,,Fenway,,,2/28/2000 0:00:00,4/25/2000 0:00:00,,1/1/2001 0:00:00,10/30/2020 0:00:00,,42.342100000000002,-71.083500000000001,33,,,"Fenway-Urban-Renewal-Area,-Botolph-Assisted-Living-Community-Project",404
13,90 Tremont Street Hotel Project,,34,,,,,,,Downtown,,,,9/11/1997 0:00:00,,,10/30/2020 0:00:00,,42.357399999999998,-71.060699999999997,34,,,90-Tremont-Street-Hotel-Project,404
14,Lafayette Corporate Center,,35,,,,,,,Downtown,,,,9/11/1997 0:00:00,,,10/30/2020 0:00:00,,42.353999999999999,-71.061000000000007,35,,,Lafayette-Corporate-Center,404
15,One Lincoln Street,,36,,,,,,,Downtown,,,,,,,10/30/2020 0:00:00,,42.352899999999998,-71.058700000000002,36,,,One-Lincoln-Street,404
16,Macy's,,37,,,,,,,Downtown,,,,3/16/1999 0:00:00,,,10/30/2020 0:00:00,,42.354700000000001,-71.060199999999995,37,,,Macy-s,404
17,15 Beacon Street,,40,,,,,,,Downtown,,,,,,,10/30/2020 0:00:00,,42.358400000000003,-71.061999999999998,40,,,15-Beacon-Street,404
18,Dexter Condominiums,,41,,,,,,,Downtown,,,4/16/1998 0:00:00,11/21/2000 0:00:00,,,10/30/2020 0:00:00,,42.355300000000000,-71.061000000000007,41,,,Dexter-Condominiums,404
19,Landmark Square Residential Development,,42,,,,,,,Fenway,,,,4/9/1998 0:00:00,,1/1/1900 0:00:00,10/30/2020 0:00:00,,42.343800000000002,-71.098100000000002,42,,,Landmark-Square-Residential-Development,404
20,"131 Dartmouth Street, New England Financial",,43,,,,,,,South End,,,,9/10/1998 0:00:00,,,10/30/2020 0:00:00,,42.346800000000002,-71.075400000000002,43,,,"131-Dartmouth-Street,-New-England-Financial",404
21,Parcel 8 - BCA,,45,,,,,,,South End,,,,4/25/2000 0:00:00,,,10/30/2020 0:00:00,,42.344799999999999,-71.070700000000002,45,,,Parcel-8-BCA,404
