OID_,Name,Parcel__Parcel_Name,Project_ID,Record_Type,Project_Status,Owner__Full_Name,Project_Street_Number,Project_Street_Name,Project_Street_Suffix,Neighborhood,Project_Zip_Code,Letter_of_Intent,Filed_Date,BPDA_Board_Approval,First_Building_Permit,COO_Permit_Date,Last_Modified_Date,Last_Project_Update_Date,Lat,Lon,A80_Proj_ID,LocCode,A80_URL,URL_Base,URL_Stat
1,International Cargo Port,,6,,,,,,,South Boston Waterfront,,,,,,,10/30/2020 0:00:00,,42.344299999999997,-71.029799999999994,6,,http://www.bostonplans.org/projects/development-projects/International-Cargo-Port,International-Cargo-Port,
2,CANA Parcels 2 and 4,,7,,,,,,,Charlestown,,,5/5/2000 0:00:00,7/20/2006 0:00:00,,9/14/2007 0:00:00,10/30/2020 0:00:00,,42.371200000000002,-71.061499999999995,7,,http://www.bostonplans.org/projects/development-projects/CANA-Parcels-2-and-4,CANA-Parcels-2-and-4,
3,Crosstown Center Phase I,,9,,,,,,,South End,,,10/21/1999 0:00:00,9/8/2005 0:00:00,,,10/30/2020 0:00:00,,42.332400000000000,-71.073700000000002,9,,http://www.bostonplans.org/projects/development-projects/Crosstown-Center-Phase-I,Crosstown-Center-Phase-I,
4,Jacobson Floral Supply,,10,,,,,,,South End,,,1/1/2005 0:00:00,6/30/2005 0:00:00,,,10/30/2020 0:00:00,,42.338299999999997,-71.065799999999996,10,,http://www.bostonplans.org/projects/development-projects/Jacobson-Floral-Supply,Jacobson-Floral-Supply,
5,1380 Soldiers Field Road,,15,,,,,,,Allston,,,12/22/1998 0:00:00,2/25/1999 0:00:00,,,10/30/2020 0:00:00,,42.362499999999997,-71.143000000000001,15,,http://www.bostonplans.org/projects/development-projects/1380-Soldiers-Field-Road,1380-Soldiers-Field-Road,
6,"Legal Seafoods Processing Plant, BMIP",,19,,,,,,,South Boston Waterfront,,,4/30/2001 0:00:00,7/17/2001 0:00:00,,,10/30/2020 0:00:00,,42.349699999999999,-71.032200000000003,19,,"http://www.bostonplans.org/projects/development-projects/Legal-Seafoods-Processing-Plant,-BMIP","Legal-Seafoods-Processing-Plant,-BMIP",
7,District Nine at 61 North Beacon Street,,20,,,,,,,Brighton,,,2/15/2005 0:00:00,4/25/2006 0:00:00,,,11/29/2020 0:00:00,4/25/2006 0:00:00,42.354500000000002,-71.140299999999996,20,,http://www.bostonplans.org/projects/development-projects/District-Nine-at-61-North-Beacon-Street,District-Nine-at-61-North-Beacon-Street,
8,Boston University - East Student Village,,25,,,,,,,Allston,,,,4/30/1998 0:00:00,,,10/30/2020 0:00:00,,42.352400000000003,-71.117000000000004,25,,http://www.bostonplans.org/projects/development-projects/Boston-University-East-Student-Village,Boston-University-East-Student-Village,
9,New England Baptist Hospital Edward H. Haskell School of Nursing,,28,,,,,,,Mission Hill,,,,8/13/1998 0:00:00,,,10/30/2020 0:00:00,,42.330399999999997,-71.109099999999998,28,,http://www.bostonplans.org/projects/development-projects/New-England-Baptist-Hospital-Edward-H.-Haskell-School-of-Nursing,New-England-Baptist-Hospital-Edward-H.-Haskell-School-of-Nursing,
10,Northeastern University - West Village Residence Complex,,30,,,,,,,Fenway,,,,,,,10/30/2020 0:00:00,,42.338099999999997,-71.092600000000004,30,,http://www.bostonplans.org/projects/development-projects/Northeastern-University-West-Village-Residence-Complex,Northeastern-University-West-Village-Residence-Complex,
11,Suffolk University - Law School,,31,,,,,,,Downtown,,,,,,,10/30/2020 0:00:00,,42.356699999999996,-71.061199999999999,31,,http://www.bostonplans.org/projects/development-projects/Suffolk-University-Law-School,Suffolk-University-Law-School,
12,"Fenway Urban Renewal Area, Botolph Assisted Living Community Project",,33,,,,,,,Fenway,,,2/28/2000 0:00:00,4/25/2000 0:00:00,,1/1/2001 0:00:00,10/30/2020 0:00:00,,42.342100000000002,-71.083500000000001,33,,"http://www.bostonplans.org/projects/development-projects/Fenway-Urban-Renewal-Area,-Botolph-Assisted-Living-Community-Project","Fenway-Urban-Renewal-Area,-Botolph-Assisted-Living-Community-Project",
13,90 Tremont Street Hotel Project,,34,,,,,,,Downtown,,,,9/11/1997 0:00:00,,,10/30/2020 0:00:00,,42.357399999999998,-71.060699999999997,34,,http://www.bostonplans.org/projects/development-projects/90-Tremont-Street-Hotel-Project,90-Tremont-Street-Hotel-Project,
14,Lafayette Corporate Center,,35,,,,,,,Downtown,,,,9/11/1997 0:00:00,,,10/30/2020 0:00:00,,42.353999999999999,-71.061000000000007,35,,http://www.bostonplans.org/projects/development-projects/Lafayette-Corporate-Center,Lafayette-Corporate-Center,
15,One Lincoln Street,,36,,,,,,,Downtown,,,,,,,10/30/2020 0:00:00,,42.352899999999998,-71.058700000000002,36,,http://www.bostonplans.org/projects/development-projects/One-Lincoln-Street,One-Lincoln-Street,
16,Macy's,,37,,,,,,,Downtown,,,,3/16/1999 0:00:00,,,10/30/2020 0:00:00,,42.354700000000001,-71.060199999999995,37,,http://www.bostonplans.org/projects/development-projects/Macy-s,Macy-s,
17,15 Beacon Street,,40,,,,,,,Downtown,,,,,,,10/30/2020 0:00:00,,42.358400000000003,-71.061999999999998,40,,http://www.bostonplans.org/projects/development-projects/15-Beacon-Street,15-Beacon-Street,
18,Dexter Condominiums,,41,,,,,,,Downtown,,,4/16/1998 0:00:00,11/21/2000 0:00:00,,,10/30/2020 0:00:00,,42.355300000000000,-71.061000000000007,41,,http://www.bostonplans.org/projects/development-projects/Dexter-Condominiums,Dexter-Condominiums,
19,Landmark Square Residential Development,,42,,,,,,,Fenway,,,,4/9/1998 0:00:00,,1/1/1900 0:00:00,10/30/2020 0:00:00,,42.343800000000002,-71.098100000000002,42,,http://www.bostonplans.org/projects/development-projects/Landmark-Square-Residential-Development,Landmark-Square-Residential-Development,
20,"131 Dartmouth Street, New England Financial",,43,,,,,,,South End,,,,9/10/1998 0:00:00,,,10/30/2020 0:00:00,,42.346800000000002,-71.075400000000002,43,,"http://www.bostonplans.org/projects/development-projects/131-Dartmouth-Street,-New-England-Financial","131-Dartmouth-Street,-New-England-Financial",
21,Parcel 8 - BCA,,45,,,,,,,South End,,,,4/25/2000 0:00:00,,,10/30/2020 0:00:00,,42.344799999999999,-71.070700000000002,45,,http://www.bostonplans.org/projects/development-projects/Parcel-8-BCA,Parcel-8-BCA,
22,Columbus Center,,46,,,,,,,Back Bay,,,11/30/2001 0:00:00,10/23/2003 0:00:00,,,10/30/2020 0:00:00,,42.347900000000003,-71.071100000000001,46,,http://www.bostonplans.org/projects/development-projects/Columbus-Center,Columbus-Center,
23,Boylston Square,,47,,,,,,,Fenway,,,,,,,10/30/2020 0:00:00,,42.347400000000000,-71.088700000000003,47,,http://www.bostonplans.org/projects/development-projects/Boylston-Square,Boylston-Square,
24,Colonnade Residences,,52,,,,,,,Back Bay,,,2/16/1996 0:00:00,,,,10/30/2020 0:00:00,,42.346100000000000,-71.080299999999994,52,,http://www.bostonplans.org/projects/development-projects/Colonnade-Residences,Colonnade-Residences,
25,Millenium Place,,54,,,,,,,Chinatown,,,,1/8/1998 0:00:00,,,10/30/2020 0:00:00,,42.353099999999998,-71.063199999999995,54,,http://www.bostonplans.org/projects/development-projects/Millenium-Place,Millenium-Place,
